API Number,Operator,Lease Name,Well Number,County,District,Well Type,Status,Permit Date,Completion Date,Formation,Total Depth,Lateral Length,IP Oil (bbl/day),IP Gas (mcf/day),Total Oil (12mo),Total Gas (12mo),Ownership Count,Lease Count,Has Frac Data
42-317-83844-47,"Apache Corporation","Yates Pool",14H,MIDLAND,08,Gas,Producing,,,,,,,,1531,125461,0,2,No
42-475-60140-17,"Devon Energy","Cowden Ranch",49H,WARD,08,Gas,Producing,,,,,,,,1485,127152,2,0,No
42-130-12545-98,"Surge Energy","Delaware Basin",46,ECTOR,08,Gas,Producing,,,,,,,,1482,168219,1,0,No
42-371-28838-48,"ExxonMobil","King Ranch Unit",16H,REEVES,08,Gas,Producing,,,,,,,,1480,79300,0,1,No
42-371-39930-83,"Devon Energy","University Lands",36H,REEVES,08,Gas,Producing,,,,,,,,1467,218154,0,0,No
42-303-41888-94,"Devon Energy","Webb County Gas",41H,MARTIN,08,Gas,Producing,,,,,,,,1462,229688,0,0,No
42-127-84709-11,"Callon Petroleum","Goldsmith",25,DIMMIT,01,Gas,Producing,,,,,,,,1460,131897,1,0,No
42-269-96036-35,"ConocoPhillips","Avalon Shale",28H,LOVING,08,Gas,Producing,,,,,,,,1452,110630,0,0,No
42-130-10741-40,"Devon Energy","Spraberry Deep",25H,ECTOR,08,Gas,Producing,,,,,,,,1444,267882,0,0,No
42-239-99437-84,"Marathon Oil","Section 12",40H,KARNES,01,Gas,Producing,,,,,,,,1443,41423,0,0,No
42-239-85874-00,"Occidental Petroleum","Delaware Basin",23H,KARNES,01,Gas,Producing,,,,,,,,1438,35621,0,1,No
42-127-15505-15,"Diamondback Energy","DeWitt Shale",11,DIMMIT,01,Gas,Producing,,,,,,,,1410,135223,0,0,No
42-239-94473-19,"Occidental Petroleum","Midland Basin",6H,KARNES,01,Gas,Producing,,,,,,,,1405,103841,0,1,No
42-475-14169-75,"Diamondback Energy","Bone Spring Unit",36H,WARD,08,Gas,Producing,,,,,,,,1393,54440,0,0,No
42-127-86244-95,"Chevron USA","Webb County Gas",24H,DIMMIT,01,Gas,Producing,,,,,,,,1383,73840,0,1,No
42-239-66355-23,"Occidental Petroleum","Eagle Ford Unit",10H,KARNES,01,Gas,Producing,,,,,,,,1369,140406,1,1,No
42-371-21935-74,"Marathon Oil","Howard Draw",13H,REEVES,08,Gas,Producing,,,,,,,,1351,166564,0,1,No
42-123-23243-28,"Endeavor Energy Resources","Webb County Gas",19H,DEWITT,01,Gas,Producing,,,,,,,,1345,126168,0,1,No
42-475-53217-60,"SM Energy","Spraberry Trend",31H,WARD,08,Gas,Producing,,,,,,,,1341,90394,0,0,No
42-479-87667-29,"Diamondback Energy","University Lands",28H,WEBB,04,Gas,Producing,,,,,,,,1339,27082,0,1,No
42-239-68634-29,"Endeavor Energy Resources","Fasken Ranch",23H,KARNES,01,Gas,Producing,,,,,,,,1336,31272,0,0,No
42-127-44053-32,"Mewbourne Oil Company","Ward County Unit",29H,DIMMIT,01,Gas,Producing,,,,,,,,1335,66171,0,0,No
42-269-87941-71,"Centennial Resource Development","Avalon Shale",13,LOVING,08,Gas,Producing,,,,,,,,1301,73176,0,0,No
42-303-14683-33,"Fasken Oil and Ranch","Howard Draw",45,MARTIN,08,Gas,Producing,,,,,,,,1289,128125,0,1,No
42-239-74289-82,"Ovintiv","Howard Draw",20H,KARNES,01,Gas,Producing,,,,,,,,1264,125342,0,0,No
42-269-16297-00,"Mewbourne Oil Company","Clearfork Unit",13H,LOVING,08,Gas,Producing,,,,,,,,1260,225357,1,0,No
42-123-49798-62,"Chevron USA","Midland Basin",19H,DEWITT,01,Gas,Producing,,,,,,,,1258,107053,0,0,No
42-479-38842-22,"Callon Petroleum","Fasken Ranch",26,WEBB,04,Gas,Producing,,,,,,,,1257,44072,0,0,No
42-127-48374-26,"Surge Energy","Fasken Ranch",21H,DIMMIT,01,Gas,Producing,,,,,,,,1219,78843,0,0,No
42-371-92281-68,"SM Energy","Karnes Trough",2H,REEVES,08,Gas,Producing,,,,,,,,1209,51148,0,0,No
42-317-13748-74,"Centennial Resource Development","Cowden Ranch",15H,MIDLAND,08,Gas,Producing,,,,,,,,1200,204280,0,0,No
42-221-45411-12,"Devon Energy","University Lands",37,HOWARD,08,Gas,Producing,,,,,,,,1188,277548,0,0,No
42-269-27696-76,"Chevron USA","Avalon Shale",9H,LOVING,08,Gas,Producing,,,,,,,,1184,278730,0,0,No
42-317-96588-85,"Occidental Petroleum","Howard Draw",1,MIDLAND,08,Gas,Producing,,,,,,,,1176,209855,0,1,No
42-269-55918-85,"Occidental Petroleum","Cowden Ranch",10H,LOVING,08,Gas,Producing,,,,,,,,1174,115545,0,1,No
42-479-95956-59,"Centennial Resource Development","Hendrick",38H,WEBB,04,Gas,Producing,,,,,,,,1169,35306,0,0,No
42-317-13891-88,"Mewbourne Oil Company","Hendrick",28,MIDLAND,08,Gas,Producing,,,,,,,,1167,253190,0,0,No
42-221-19546-22,"Apache Corporation","Goldsmith",3H,HOWARD,08,Gas,Producing,,,,,,,,1150,211186,1,2,No
42-123-83052-98,"Laredo Petroleum","Delaware Basin",50H,DEWITT,01,Gas,Producing,,,,,,,,1134,162732,0,0,No
42-269-68068-66,"SM Energy","Eagle Ford Unit",20,LOVING,08,Gas,Producing,,,,,,,,1126,138290,0,0,No
42-317-92127-81,"ExxonMobil","Yates Pool",39,MIDLAND,08,Gas,Producing,,,,,,,,1126,252837,0,0,No
42-123-10024-11,"Ovintiv","Mabee Ranch",49,DEWITT,01,Gas,Producing,,,,,,,,1125,176363,0,1,No
42-317-69733-30,"Laredo Petroleum","Permian Basin Unit",49H,MIDLAND,08,Gas,Producing,,,,,,,,1101,92601,0,0,No
42-303-63031-39,"ExxonMobil","San Andres",30,MARTIN,08,Gas,Producing,,,,,,,,1089,55458,0,0,No
42-130-28166-69,"Endeavor Energy Resources","Pecos Valley",11H,ECTOR,08,Gas,Producing,,,,,,,,1071,223138,0,0,No
42-353-52924-47,"Surge Energy","King Ranch Unit",17,PECOS,08,Gas,Producing,,,,,,,,1067,146326,0,0,No
42-269-96092-75,"Occidental Petroleum","South Texas Unit",15,LOVING,08,Gas,Producing,,,,,,,,1066,257520,2,0,No
42-479-66781-30,"Fasken Oil and Ranch","TXL Ranch",23,WEBB,04,Gas,Producing,,,,,,,,1059,63332,0,0,No
42-221-48155-05,"Apache Corporation","Ward County Unit",43,HOWARD,08,Gas,Producing,,,,,,,,1058,245108,0,0,No
42-303-73408-39,"ConocoPhillips","Martin Ranch",22H,MARTIN,08,Gas,Producing,,,,,,,,1050,48813,0,0,No
42-130-35823-20,"Apache Corporation","Webb County Gas",49H,ECTOR,08,Gas,Producing,,,,,,,,1039,123992,0,0,No
42-303-58395-84,"Laredo Petroleum","University Lands",28,MARTIN,08,Gas,Producing,,,,,,,,1038,62418,0,0,No
42-130-76330-72,"Ovintiv","DeWitt Shale",38H,ECTOR,08,Gas,Producing,,,,,,,,1035,67293,0,0,No
42-221-64946-49,"Diamondback Energy","McElroy Ranch",43H,HOWARD,08,Gas,Producing,,,,,,,,1027,218803,0,0,No
42-127-38706-93,"EOG Resources","Bone Spring Unit",21H,DIMMIT,01,Gas,Producing,,,,,,,,1025,125446,1,0,No
42-303-84725-01,"ExxonMobil","Bone Spring Unit",40,MARTIN,08,Gas,Producing,,,,,,,,1012,267981,1,0,No
42-479-31767-62,"Apache Corporation","Wolfcamp Ranch",2H,WEBB,04,Gas,Producing,,,,,,,,1004,63287,1,0,No
42-479-17806-59,"Callon Petroleum","South Texas Unit",14H,WEBB,04,Gas,Producing,,,,,,,,977,82321,0,0,No
42-127-71181-93,"ConocoPhillips","DeWitt Shale",10,DIMMIT,01,Gas,Producing,,,,,,,,975,155760,1,0,No
42-130-93741-06,"Pioneer Natural Resources","Fasken Ranch",3H,ECTOR,08,Gas,Producing,,,,,,,,960,159103,0,0,No
42-221-17695-16,"ExxonMobil","Spraberry Trend",11,HOWARD,08,Gas,Producing,,,,,,,,951,107512,0,2,No
42-475-40486-60,"Endeavor Energy Resources","King Ranch Unit",14H,WARD,08,Gas,Producing,,,,,,,,938,206433,0,0,No
42-239-51767-83,"CrownQuest Operating","Avalon Shale",29,KARNES,01,Gas,Producing,,,,,,,,938,55149,0,0,No
42-353-27952-35,"Diamondback Energy","Goldsmith",30H,PECOS,08,Gas,Producing,,,,,,,,937,123625,1,1,No
42-317-36235-89,"Apache Corporation","Block 42",37H,MIDLAND,08,Gas,Producing,,,,,,,,933,101203,0,0,No
42-353-98817-30,"Surge Energy","King Ranch Unit",43H,PECOS,08,Gas,Producing,,,,,,,,932,86198,0,1,No
42-479-79223-44,"Pioneer Natural Resources","Yates Pool",45H,WEBB,04,Gas,Producing,,,,,,,,906,100644,1,1,No
42-130-56640-01,"Chevron USA","Wolfcamp Ranch",15,ECTOR,08,Gas,Producing,,,,,,,,902,103386,0,0,No
42-303-14198-74,"Ovintiv","Mabee Ranch",27H,MARTIN,08,Gas,Producing,,,,,,,,901,176847,1,1,No
42-353-85366-33,"CrownQuest Operating","Spraberry Trend",29,PECOS,08,Gas,Producing,,,,,,,,894,112918,0,1,No
42-475-26487-81,"Pioneer Natural Resources","Spraberry Deep",43H,WARD,08,Gas,Producing,,,,,,,,879,64509,0,0,No
42-475-94925-34,"Occidental Petroleum","Bass Ranch",14,WARD,08,Gas,Producing,,,,,,,,870,144138,0,0,No
42-303-46022-57,"Fasken Oil and Ranch","McElroy Ranch",21,MARTIN,08,Gas,Producing,,,,,,,,870,59117,0,0,No
42-123-48902-99,"Endeavor Energy Resources","Spraberry Deep",6,DEWITT,01,Gas,Producing,,,,,,,,854,137800,1,0,No
42-353-11251-35,"Fasken Oil and Ranch","Fasken Ranch",26H,PECOS,08,Gas,Producing,,,,,,,,845,208297,1,0,No
42-353-16851-78,"Ovintiv","Midland Basin",9,PECOS,08,Gas,Producing,,,,,,,,837,128752,0,0,No
42-130-84889-94,"Ovintiv","Spraberry Deep",37H,ECTOR,08,Gas,Producing,,,,,,,,828,148365,0,1,No
42-123-89782-47,"Fasken Oil and Ranch","Spraberry Trend",5H,DEWITT,01,Gas,Producing,,,,,,,,821,103980,1,0,No
42-303-48683-19,"Pioneer Natural Resources","Big Lake",16H,MARTIN,08,Gas,Producing,,,,,,,,821,214157,0,0,No
42-317-75685-79,"Mewbourne Oil Company","Delaware Basin",7,MIDLAND,08,Gas,Producing,,,,,,,,807,137892,0,0,No
42-127-49793-29,"EOG Resources","Martin Ranch",38H,DIMMIT,01,Gas,Producing,,,,,,,,793,166409,0,0,No
42-127-41877-68,"Diamondback Energy","Karnes Trough",12,DIMMIT,01,Gas,Producing,,,,,,,,791,49306,0,0,No
42-239-88281-68,"ExxonMobil","Bass Ranch",35H,KARNES,01,Gas,Producing,,,,,,,,780,78195,0,0,No
42-353-36350-99,"Marathon Oil","Pecos Valley",37,PECOS,08,Gas,Producing,,,,,,,,770,256866,1,0,No
42-127-64606-47,"Chevron USA","Bone Spring Unit",14H,DIMMIT,01,Gas,Producing,,,,,,,,769,49257,0,0,No
42-239-86960-78,"Endeavor Energy Resources","DeWitt Shale",28H,KARNES,01,Gas,Producing,,,,,,,,768,131098,0,0,No
42-269-37908-21,"Fasken Oil and Ranch","Karnes Trough",7H,LOVING,08,Gas,Producing,,,,,,,,762,242531,0,1,No
42-127-53627-86,"CrownQuest Operating","Midland Basin",49,DIMMIT,01,Gas,Producing,,,,,,,,758,145671,0,0,No
42-239-27984-15,"Surge Energy","King Ranch Unit",32,KARNES,01,Gas,Producing,,,,,,,,753,68551,1,1,No
42-221-57128-65,"Fasken Oil and Ranch","Spraberry Trend",12H,HOWARD,08,Gas,Producing,,,,,,,,751,63968,1,0,No
42-269-78079-99,"Devon Energy","Spraberry Trend",11,LOVING,08,Gas,Producing,,,,,,,,750,211344,0,0,No
42-479-86493-34,"Chevron USA","TXL Ranch",31H,WEBB,04,Gas,Producing,,,,,,,,736,79006,1,0,No
42-475-34825-93,"Laredo Petroleum","Martin Ranch",34,WARD,08,Gas,Producing,,,,,,,,734,68050,0,1,No
42-479-14839-35,"Apache Corporation","Loving County Ranch",3H,WEBB,04,Gas,Producing,,,,,,,,715,53113,0,0,No
42-475-12096-34,"Endeavor Energy Resources","Loving County Ranch",11H,WARD,08,Gas,Producing,,,,,,,,714,201939,0,0,No
42-353-66664-55,"Laredo Petroleum","Bass Ranch",5H,PECOS,08,Gas,Producing,,,,,,,,713,125906,0,1,No
42-479-30336-31,"Laredo Petroleum","Karnes Trough",45H,WEBB,04,Gas,Producing,,,,,,,,709,162588,0,0,No
42-127-64068-57,"SM Energy","University Lands",13,DIMMIT,01,Gas,Producing,,,,,,,,704,75729,0,1,No
42-317-52937-49,"Centennial Resource Development","Howard Draw",6,MIDLAND,08,Gas,Producing,,,,,,,,699,230851,0,1,No
42-123-10682-01,"Devon Energy","South Texas Unit",23H,DEWITT,01,Gas,Producing,,,,,,,,687,149349,1,1,No
42-127-47549-04,"Ovintiv","Spraberry Trend",16H,DIMMIT,01,Gas,Producing,,,,,,,,676,111383,0,0,No
42-353-34112-52,"Endeavor Energy Resources","Dimmit County Oil",12H,PECOS,08,Gas,Producing,,,,,,,,652,46442,1,0,No
42-239-37800-66,"Devon Energy","Avalon Shale",17H,KARNES,01,Gas,Producing,,,,,,,,644,69886,1,1,No
42-239-92428-07,"Surge Energy","Mabee Ranch",17H,KARNES,01,Gas,Producing,,,,,,,,610,40075,0,1,No
42-479-82063-39,"Marathon Oil","Cowden Ranch",35,WEBB,04,Gas,Producing,,,,,,,,607,151521,0,0,No
42-123-27781-40,"Fasken Oil and Ranch","Ward County Unit",16H,DEWITT,01,Gas,Producing,,,,,,,,603,114059,0,1,No
42-479-64532-41,"Ovintiv","Block 42",5,WEBB,04,Gas,Producing,,,,,,,,593,91337,0,1,No
42-127-95007-89,"Marathon Oil","Fasken Ranch",4,DIMMIT,01,Gas,Producing,,,,,,,,578,72995,0,0,No
42-239-67878-46,"Surge Energy","Dimmit County Oil",11H,KARNES,01,Gas,Producing,,,,,,,,576,52522,0,1,No
42-479-49901-89,"Mewbourne Oil Company","Webb County Gas",3H,WEBB,04,Gas,Producing,,,,,,,,558,89852,0,1,No
42-479-67279-27,"Devon Energy","Fasken Ranch",5H,WEBB,04,Gas,Producing,,,,,,,,550,133422,0,0,No
42-123-92336-78,"Pioneer Natural Resources","McElroy Ranch",45H,DEWITT,01,Gas,Producing,,,,,,,,543,29762,0,0,No
42-127-42829-28,"Diamondback Energy","Goldsmith",18,DIMMIT,01,Gas,Producing,,,,,,,,467,121757,0,0,No
42-239-54519-37,"Chevron USA","Martin Ranch",31,KARNES,01,Gas,Producing,,,,,,,,460,122324,3,0,No
42-127-33573-89,"EOG Resources","Dimmit County Oil",5H,DIMMIT,01,Gas,Producing,,,,,,,,415,49695,0,0,No
42-479-50455-13,"Fasken Oil and Ranch","Delaware Basin",35H,WEBB,04,Gas,Producing,,,,,,,,408,94358,0,0,No
42-127-32932-89,"Mewbourne Oil Company","Goldsmith",32,DIMMIT,01,Gas,Producing,,,,,,,,360,147931,0,0,No
42-130-33981-65,"Mewbourne Oil Company","Midland Basin",22H,ECTOR,08,Oil,Completed,,2026-02-15,Devonian,10535,5796,1072,4678,0,0,0,0,No
42-303-66956-23,"Marathon Oil","Section 12",47,MARTIN,08,Oil,Completed,,2026-02-15,Lower Spraberry,9882,,1072,2658,0,0,0,0,No
42-123-61121-13,"Endeavor Energy Resources","Goldsmith",40,DEWITT,08,Oil,Completed,,2026-02-13,Austin Chalk,10879,,1101,2782,0,0,0,0,No
42-239-23050-46,"Callon Petroleum","University Lands",28H,KARNES,08,Oil,Completed,,2026-02-13,Buda Limestone,8025,11678,1335,5981,0,0,0,0,No
42-317-86224-95,"Ovintiv","Mabee Ranch",4H,MIDLAND,08,Oil,Completed,,2026-02-07,Wolfcamp B,11792,11503,2450,6527,0,0,0,0,No
42-353-99845-00,"Diamondback Energy","Cowden Ranch",42H,PECOS,08,Oil,Completed,,2026-02-06,Devonian,8706,8030,1705,2301,0,0,1,0,No
42-475-54678-70,"Fasken Oil and Ranch","Cowden Ranch",27H,WARD,08,Oil,Completed,,2026-02-03,Delaware Sand,8483,8677,1597,4760,0,0,0,0,No
42-127-97977-34,"Centennial Resource Development","Wolfcamp Ranch",41H,DIMMIT,08,Oil,Completed,,2026-02-01,Eagle Ford Shale,8627,7381,1431,3884,0,0,0,0,No
42-475-22708-06,"Fasken Oil and Ranch","University Lands",20H,WARD,08,Oil,Completed,,2026-01-29,Delaware Sand,10466,11547,506,6718,0,0,0,0,No
42-317-24220-13,"Fasken Oil and Ranch","Pecos Valley",33H,MIDLAND,08,Gas,Completed,,2026-01-29,Spraberry,8410,5124,213,8370,0,0,0,1,No
42-475-83022-45,"Devon Energy","Cowden Ranch",12H,WARD,08,Oil,Completed,,2026-01-28,Wolfcamp A,9624,14049,1909,5181,0,0,0,0,No
42-479-39788-83,"Pioneer Natural Resources","Section 12",1,WEBB,08,Oil,Completed,,2026-01-27,Eagle Ford Shale,10097,,729,731,0,0,0,0,No
42-317-67360-40,"Laredo Petroleum","Eagle Ford Unit",24H,MIDLAND,08,Oil,Completed,,2026-01-27,Spraberry,9984,13224,2051,7273,0,0,3,1,No
42-317-74347-53,"Diamondback Energy","Wolfcamp Ranch",47H,MIDLAND,08,Oil,Completed,,2026-01-27,Wolfcamp A,9327,6492,316,6150,0,0,0,0,No
42-317-63825-46,"EOG Resources","Block 42",40H,MIDLAND,08,Oil,Completed,,2026-01-25,Dean Sand,10352,6594,2364,6878,0,0,0,1,No
42-475-60129-23,"Mewbourne Oil Company","Bone Spring Unit",35,WARD,08,Gas,Completed,,2026-01-23,Wolfcamp B,10895,,185,16530,0,0,0,0,No
42-317-85940-17,"Marathon Oil","Goldsmith",43H,MIDLAND,08,Oil,Completed,,2026-01-23,Wolfcamp A,10762,6752,610,2288,0,0,0,1,Yes
42-479-59424-53,"SM Energy","Pecos Valley",35H,WEBB,08,Oil,Completed,,2026-01-20,Eagle Ford Shale,8338,12271,1303,5963,0,0,0,0,No
42-475-58044-56,"Devon Energy","Eagle Ford Unit",36H,WARD,08,Gas,Completed,,2026-01-20,Cherry Canyon,6375,12296,144,4284,0,0,0,2,No
42-130-35081-69,"Endeavor Energy Resources","South Texas Unit",43H,ECTOR,08,Oil,Completed,,2026-01-19,Spraberry,7141,13699,681,3410,0,0,0,0,No
42-303-38660-59,"Laredo Petroleum","TXL Ranch",19,MARTIN,08,Oil,Completed,,2026-01-19,Wolfcamp B,11948,,2129,3725,0,0,0,0,No
42-123-79493-52,"ConocoPhillips","San Andres",26H,DEWITT,08,Oil,Completed,,2026-01-17,Eagle Ford Shale,8424,14727,257,1763,0,0,0,1,No
42-221-92860-33,"Callon Petroleum","Delaware Basin",32H,HOWARD,08,Gas,Completed,,2026-01-16,Wolfcamp A,12834,13753,212,22149,0,0,1,0,No
42-303-78139-80,"Marathon Oil","Martin Ranch",42H,MARTIN,08,Oil,Completed,,2026-01-15,Wolfcamp B,10430,9604,1849,3065,0,0,0,0,No
42-371-34756-39,"ExxonMobil","Spraberry Deep",38H,REEVES,08,Gas,Completed,,2026-01-12,Wolfcamp A,12771,13410,82,13662,0,0,0,0,No
42-353-32726-09,"Centennial Resource Development","Cowden Ranch",49H,PECOS,08,Oil,Completed,,2026-01-11,Bone Spring,10409,6719,1297,4475,0,0,0,0,No
42-353-69306-95,"Endeavor Energy Resources","South Texas Unit",21,PECOS,08,Oil,Completed,,2026-01-11,Devonian,7892,,684,7937,0,0,0,0,No
42-123-10787-92,"Pioneer Natural Resources","Mabee Ranch",44H,DEWITT,08,Oil,Completed,,2026-01-10,Austin Chalk,7638,8563,901,1774,0,0,0,1,No
42-269-51729-11,"Pioneer Natural Resources","State Lands",10H,LOVING,08,Gas,Completed,,2026-01-10,Wolfcamp A,9179,13796,171,17556,0,0,0,0,No
42-269-67100-98,"EOG Resources","Spraberry Deep",22H,LOVING,08,Oil,Completed,,2026-01-08,Delaware Sand,9463,14048,1125,6636,0,0,0,0,No
42-303-17002-48,"Laredo Petroleum","Eagle Ford Unit",40H,MARTIN,08,Oil,Completed,,2026-01-07,Wolfcamp A,9795,8942,496,3774,0,0,0,0,No
42-123-86297-92,"EOG Resources","Clearfork Unit",39,DEWITT,08,Gas,Completed,,2026-01-05,Austin Chalk,6137,,92,1455,0,0,0,1,No
42-371-83068-76,"Chevron USA","TXL Ranch",4H,REEVES,08,Oil,Completed,,2026-01-04,Wolfcamp A,10398,10223,2130,7188,0,0,0,0,No
42-127-92339-16,"Surge Energy","Section 12",27H,DIMMIT,08,Oil,Completed,,2025-12-29,Eagle Ford Shale,8185,11518,1446,975,0,0,1,1,No
42-317-19490-51,"Fasken Oil and Ranch","Eagle Ford Unit",40H,MIDLAND,08,Oil,Completed,,2025-12-29,Spraberry,8619,7471,2080,6489,0,0,0,2,No
42-221-35890-09,"Devon Energy","Section 12",8H,HOWARD,08,Oil,Completed,,2025-12-29,Dean Sand,6846,12695,2475,7417,0,0,0,0,No
42-123-15452-80,"Endeavor Energy Resources","Cowden Ranch",9H,DEWITT,08,Oil,Completed,,2025-12-28,Eagle Ford Shale,10785,13442,1219,838,0,0,0,0,No
42-303-84973-29,"Devon Energy","Wolfcamp Ranch",44H,MARTIN,08,Oil,Completed,,2025-12-25,Spraberry,8161,7963,1382,2204,0,0,0,0,No
42-303-16910-08,"Centennial Resource Development","Section 12",37H,MARTIN,08,Oil,Completed,,2025-12-25,Dean Sand,7740,10932,637,1322,0,0,0,0,No
42-475-36094-84,"Mewbourne Oil Company","San Andres",3H,WARD,08,Oil,Completed,,2025-12-19,Cherry Canyon,10893,8067,1327,2466,0,0,0,1,No
42-127-93543-45,"Ovintiv","Clearfork Unit",27H,DIMMIT,08,Oil,Completed,,2025-12-18,Eagle Ford Shale,11094,6519,1139,5962,0,0,0,0,No
42-303-23979-85,"Fasken Oil and Ranch","Delaware Basin",26,MARTIN,08,Gas,Completed,,2025-12-16,Dean Sand,7517,,103,23754,0,0,0,0,No
42-130-95108-08,"Apache Corporation","San Andres",20H,ECTOR,08,Oil,Completed,,2025-12-16,Spraberry,8863,14659,1500,1517,0,0,0,0,No
42-123-40215-94,"Callon Petroleum","Section 12",50H,DEWITT,08,Oil,Completed,,2025-12-16,Austin Chalk,9208,7356,1497,562,0,0,0,0,No
42-479-51630-57,"EOG Resources","Eagle Ford Unit",49H,WEBB,08,Oil,Completed,,2025-12-15,Eagle Ford Shale,9359,11949,1007,2373,0,0,0,0,No
42-221-44335-42,"Pioneer Natural Resources","Bone Spring Unit",34H,HOWARD,08,Gas,Completed,,2025-12-12,Lower Spraberry,8328,13807,36,4146,0,0,0,0,No
42-269-45975-58,"Surge Energy","Clearfork Unit",29H,LOVING,08,Oil,Completed,,2025-12-09,2nd Bone Spring,8699,6973,824,2473,0,0,0,1,No
42-269-76015-35,"Apache Corporation","Wolfcamp Ranch",20H,LOVING,08,Gas,Completed,,2025-12-08,3rd Bone Spring,8434,8136,225,22644,0,0,0,0,No
42-269-22880-41,"Chevron USA","Howard Draw",6H,LOVING,08,Oil,Completed,,2025-12-06,Wolfcamp A,11277,12783,1911,5358,0,0,0,0,No
42-127-36725-94,"Mewbourne Oil Company","TXL Ranch",43H,DIMMIT,08,Oil,Completed,,2025-12-06,Eagle Ford Shale,9897,13201,539,4838,0,0,0,0,No
42-371-36576-20,"Laredo Petroleum","Clearfork Unit",16H,REEVES,08,Oil,Completed,,2025-12-05,Delaware Sand,7545,9400,1604,2877,0,0,0,1,No
42-317-26436-45,"SM Energy","Permian Basin Unit",43H,MIDLAND,08,Oil,Completed,,2025-12-04,Dean Sand,8101,6449,1906,2102,0,0,1,0,No
42-127-73183-07,"Chevron USA","Spraberry Trend",12H,DIMMIT,08,Oil,Completed,,2025-12-03,Eagle Ford Shale,11227,12249,477,3619,0,0,0,0,No
42-303-49182-04,"Marathon Oil","Delaware Basin",33H,MARTIN,08,Oil,Completed,,2025-12-02,Lower Spraberry,9805,8708,1614,6904,0,0,1,0,No
42-353-28332-89,"Surge Energy","Block 42",16H,PECOS,08,Oil,Completed,,2025-12-01,Wolfcamp A,10354,6502,578,4272,0,0,1,0,No
42-123-98673-92,"EOG Resources","State Lands",43H,DEWITT,08,Oil,Completed,,2025-11-28,Eagle Ford Shale,9244,8648,839,4214,0,0,1,1,No
42-127-48322-70,"CrownQuest Operating","TXL Ranch",35H,DIMMIT,08,Gas,Completed,,2025-11-27,Pearsall Shale,11274,7754,185,15522,0,0,1,1,No
42-371-93650-03,"Ovintiv","Permian Basin Unit",19H,REEVES,08,Oil,Completed,,2025-11-27,Avalon Shale,6311,12195,1844,1088,0,0,0,1,No
42-127-34423-79,"Fasken Oil and Ranch","Eagle Ford Unit",28H,DIMMIT,08,Oil,Completed,,2025-11-27,Pearsall Shale,10337,9004,206,1556,0,0,1,0,No
42-269-30062-75,"Diamondback Energy","Howard Draw",29H,LOVING,08,Gas,Completed,,2025-11-26,3rd Bone Spring,8669,11922,149,17556,0,0,1,0,No
42-239-84841-87,"ConocoPhillips","Cowden Ranch",47H,KARNES,08,Oil,Completed,,2025-11-25,Austin Chalk,8935,12552,984,2348,0,0,0,0,No
42-127-17876-65,"Fasken Oil and Ranch","Permian Basin Unit",14H,DIMMIT,08,Oil,Completed,,2025-11-24,Austin Chalk,7005,9361,1587,3804,0,0,0,0,No
42-239-98878-26,"Devon Energy","Delaware Basin",34H,KARNES,08,Oil,Completed,,2025-11-22,Eagle Ford Shale,12145,5426,1101,4098,0,0,3,1,No
42-127-35007-97,"Chevron USA","Midland Basin",48H,DIMMIT,08,Oil,Completed,,2025-11-20,Eagle Ford Shale,7873,5630,1751,3756,0,0,0,0,No
42-123-50516-09,"Occidental Petroleum","Permian Basin Unit",36H,DEWITT,08,Gas,Completed,,2025-11-19,Austin Chalk,10278,13008,164,15003,0,0,0,0,No
42-130-38261-01,"Ovintiv","Bass Ranch",44,ECTOR,08,Oil,Completed,,2025-11-10,Wolfcamp A,10666,,1888,1152,0,0,0,0,No
42-353-27555-41,"Marathon Oil","State Lands",18,PECOS,08,Oil,Completed,,2025-11-08,Delaware Sand,8434,,307,5145,0,0,0,1,No
42-239-30363-00,"Centennial Resource Development","Permian Basin Unit",38H,KARNES,08,Oil,Completed,,2025-11-06,Buda Limestone,7844,8564,1843,5781,0,0,0,0,No
42-239-30197-65,"EOG Resources","Fasken Ranch",49H,KARNES,08,Oil,Completed,,2025-11-03,Austin Chalk,7932,11831,1537,4291,0,0,0,0,No
42-353-87656-90,"SM Energy","Howard Draw",40H,PECOS,08,Oil,Completed,,2025-10-31,Delaware Sand,8567,11176,731,2253,0,0,0,0,No
42-303-37983-25,"Fasken Oil and Ranch","Pecos Valley",29H,MARTIN,08,Gas,Completed,,2025-10-28,Wolfcamp B,10551,11164,190,18381,0,0,0,0,No
42-371-66703-89,"Occidental Petroleum","San Andres",18H,REEVES,08,Gas,Completed,,2025-10-28,Wolfcamp B,11323,9916,126,3846,0,0,0,0,No
42-221-83507-88,"Laredo Petroleum","Eagle Ford Unit",35H,HOWARD,08,Oil,Completed,,2025-10-27,Spraberry,7162,11313,2468,7549,0,0,0,0,No
42-123-27296-31,"SM Energy","Eagle Ford Unit",45H,DEWITT,08,Oil,Completed,,2025-10-24,Eagle Ford Shale,11128,13613,721,5404,0,0,0,1,No
42-130-40767-51,"Marathon Oil","Bone Spring Unit",44H,ECTOR,08,Oil,Completed,,2025-10-23,Spraberry,8621,7094,2151,768,0,0,0,0,No
42-479-75873-21,"ExxonMobil","State Lands",40,WEBB,08,Oil,Completed,,2025-10-22,Eagle Ford Shale,12093,,1965,2131,0,0,1,0,No
